File Name,Method,Num Raw Files,Num Target Proteins
proteinGroups_picked_subset_no_remap_8192.csv,picked_subset_no_remap,8192,14593
proteinGroups_picked_no_grouping_no_remap_1024.csv,picked_no_grouping_no_remap,1024,10312
proteinGroups_picked_no_grouping_no_remap_2048.csv,picked_no_grouping_no_remap,2048,11358
proteinGroups_picked_subset_no_remap_256.csv,picked_subset_no_remap,256,11999
proteinGroups_picked_protein_group_no_remap_2048.csv,picked_protein_group_no_remap,2048,15445
proteinGroups_classic_no_grouping_no_remap_256.csv,classic_no_grouping_no_remap,256,8340
proteinGroups_picked_no_grouping_no_remap_32.csv,picked_no_grouping_no_remap,32,6096
proteinGroups_savitski_rescued_subset_no_remap_22796.csv,savitski_rescued_subset_no_remap,22796,16162
proteinGroups_savitski_no_remap_4096.csv,savitski_no_remap,4096,11963
proteinGroups_picked_subset_no_remap_32.csv,picked_subset_no_remap,32,9551
proteinGroups_savitski_subset_no_remap_512.csv,savitski_subset_no_remap,512,12794
proteinGroups_classic_no_grouping_no_remap_2.csv,classic_no_grouping_no_remap,2,4020
proteinGroups_classic_grouping_no_remap_16384.csv,classic_grouping_no_remap,16384,13709
proteinGroups_savitski_no_remap_16384.csv,savitski_no_remap,16384,12565
proteinGroups_picked_protein_group_no_remap_8.csv,picked_protein_group_no_remap,8,7921
proteinGroups_savitski_no_remap_64.csv,savitski_no_remap,64,7217
proteinGroups_picked_subset_no_remap_8.csv,picked_subset_no_remap,8,7917
proteinGroups_picked_no_grouping_no_remap_256.csv,picked_no_grouping_no_remap,256,8468
proteinGroups_classic_rescue_grouping_no_remap_2048.csv,classic_rescue_grouping_no_remap,2048,14986
proteinGroups_classic_no_grouping_no_remap_1.csv,classic_no_grouping_no_remap,1,3608
proteinGroups_classic_grouping_no_remap_32.csv,classic_grouping_no_remap,32,9428
proteinGroups_classic_rescue_grouping_no_remap_1024.csv,classic_rescue_grouping_no_remap,1024,13792
proteinGroups_savitski_rescued_subset_no_remap_256.csv,savitski_rescued_subset_no_remap,256,12052
proteinGroups_savitski_subset_no_remap_128.csv,savitski_subset_no_remap,128,11189
