Filename,Method,Num_Raw_Files,Num_Results
proteinGroups_picked_subset_no_remap_64.csv,picked_subset_no_remap,64,981
proteinGroups_classic_rescue_grouping_no_remap_4.csv,classic_rescue_grouping_no_remap,4,700
proteinGroups_picked_subset_no_remap_22796.csv,picked_subset_no_remap,22796,1404
proteinGroups_savitski_rescued_subset_no_remap_4.csv,savitski_rescued_subset_no_remap,4,505
proteinGroups_savitski_rescued_subset_no_remap_16.csv,savitski_rescued_subset_no_remap,16,1256
proteinGroups_savitski_no_remap_2.csv,savitski_no_remap,2,0
proteinGroups_savitski_no_remap_256.csv,savitski_no_remap,256,0
proteinGroups_classic_rescue_grouping_no_remap_4096.csv,classic_rescue_grouping_no_remap,4096,7261
proteinGroups_classic_grouping_no_remap_1.csv,classic_grouping_no_remap,1,235
proteinGroups_classic_no_grouping_no_remap_22796.csv,classic_no_grouping_no_remap,22796,0
proteinGroups_savitski_no_remap_32.csv,savitski_no_remap,32,0
proteinGroups_picked_protein_group_no_remap_16384.csv,picked_protein_group_no_remap,16384,1171
proteinGroups_picked_no_grouping_no_remap_8.csv,picked_no_grouping_no_remap,8,0
proteinGroups_savitski_no_remap_1024.csv,savitski_no_remap,1024,0
proteinGroups_classic_grouping_no_remap_64.csv,classic_grouping_no_remap,64,4087
proteinGroups_savitski_no_remap_1.csv,savitski_no_remap,1,0
proteinGroups_savitski_no_remap_2048.csv,savitski_no_remap,2048,0
proteinGroups_classic_grouping_no_remap_2.csv,classic_grouping_no_remap,2,434
proteinGroups_classic_rescue_grouping_no_remap_512.csv,classic_rescue_grouping_no_remap,512,8476
proteinGroups_picked_protein_group_no_remap_16.csv,picked_protein_group_no_remap,16,657
proteinGroups_picked_no_grouping_no_remap_4.csv,picked_no_grouping_no_remap,4,0
proteinGroups_classic_grouping_no_remap_256.csv,classic_grouping_no_remap,256,7223
proteinGroups_savitski_subset_no_remap_16384.csv,savitski_subset_no_remap,16384,4122
proteinGroups_savitski_no_remap_8192.csv,savitski_no_remap,8192,0
proteinGroups_picked_protein_group_no_remap_32.csv,picked_protein_group_no_remap,32,866
proteinGroups_classic_rescue_grouping_no_remap_8.csv,classic_rescue_grouping_no_remap,8,1166
proteinGroups_savitski_rescued_subset_no_remap_8.csv,savitski_rescued_subset_no_remap,8,827
proteinGroups_savitski_rescued_subset_no_remap_32.csv,savitski_rescued_subset_no_remap,32,1925
proteinGroups_savitski_no_remap_16.csv,savitski_no_remap,16,0
proteinGroups_picked_no_grouping_no_remap_2.csv,picked_no_grouping_no_remap,2,0
proteinGroups_classic_rescue_grouping_no_remap_64.csv,classic_rescue_grouping_no_remap,64,4082
